CharacterID,Name,Race,Saga,BasePowerLevel,MaxPowerLevel,Age,Alignment,HasKiControl
20001,Majin Buu,Angel,Frieza Saga,422927,10537117,906,Villain,True
20002,Android 18,Namekian,Saiyan Saga,9694,239566,893,Villain,True
20003,Jiren,Android,Battle of Gods,343372810,4560873578,31,Neutral,False
20004,Tien,Human,Battle of Gods,862850891,42167935488,483,Anti-Hero,True
20005,Goku,Hybrid,Cell Saga,846342,34973414,86,Neutral,True
20006,Nappa,Saiyan,Saiyan Saga,8338,208585,516,Hero,False
20007,Bulma,Human,Tournament of Power,449867159,12501131535,285,Neutral,False
20008,Jiren,Saiyan,Buu Saga,15135538,231584186,776,Villain,False
20009,Goku,Hybrid,Battle of Gods,894106804,34416329527,899,Villain,True
20010,Goten,Saiyan,Buu Saga,28841172,1221640633,708,Anti-Hero,False
20011,Goku,Hybrid,Battle of Gods,135877205,3657869453,968,Anti-Hero,True
20012,Android 17,Hybrid,Buu Saga,81304809,1154177524,724,Hero,False
20013,Krillin,Human,Battle of Gods,565729723,24037033250,725,Anti-Hero,True
20014,Majin Buu,Frieza Race,Cell Saga,451561,19300587,29,Villain,True
20015,Frieza,Frieza Race,Broly Movie,335857399,6550472012,930,Anti-Hero,True
20016,Tien,Human,Buu Saga,67392606,2281706408,240,Anti-Hero,True
20017,Raditz,Hybrid,Saiyan Saga,7597,85898,76,Hero,False
20018,Piccolo,Namekian,Broly Movie,122284081,5022631783,378,Neutral,False
20019,Raditz,Saiyan,Battle of Gods,16168002,114843463,775,Villain,False
20020,Trunks,Saiyan,Broly Movie,377887516,10027719591,658,Hero,True
20021,Bardock,Hybrid,Buu Saga,49941066,1559312175,24,Neutral,True
20022,Whis,Android,Frieza Saga,491302,18202080,178,Hero,False
20023,Majin Buu,Android,Cell Saga,502896,10844575,305,Anti-Hero,False
20024,Frieza,Frieza Race,Buu Saga,84089191,3172490794,509,Neutral,False
20025,Android 18,Majin,Cell Saga,559390,27121364,583,Villain,True
20026,Vegeta,Hybrid,Broly Movie,782058364,5404374463,481,Neutral,False
20027,Jiren,Angel,Buu Saga,41944432,826566935,459,Neutral,True
20028,Raditz,Hybrid,Frieza Saga,292098,7447254,958,Anti-Hero,True
20029,Trunks,Saiyan,Cell Saga,4763897,9001,510,Villain,False
20030,Yamcha,Human,Tournament of Power,458446867,5449417873,411,Anti-Hero,True
20031,Bardock,Saiyan,Tournament of Power,652750070,23328102775,179,Villain,False
20032,Tien,Human,Cell Saga,2783113,56181946,862,Anti-Hero,False
20033,Android 17,Human,Battle of Gods,72528580,1294374068,182,Anti-Hero,False
20034,Whis,Human,Battle of Gods,822360708,33070163449,292,Villain,True
20035,Krillin,Human,Frieza Saga,503948,8827084,515,Neutral,True
20036,Whis,Human,Saiyan Saga,16887,754729,661,Villain,False
20037,Majin Buu,Angel,Buu Saga,66970085,2833640560,684,Neutral,True
20038,Android 18,Angel,Saiyan Saga,7601,158371,104,Villain,True
20039,Goku,Saiyan,Broly Movie,382070982,9603945067,728,Hero,False
20040,Krillin,Human,Saiyan Saga,13160,404374,544,Anti-Hero,False
20041,Bardock,Hybrid,Tournament of Power,957079540,24095071681,770,Villain,False
20042,Trunks,Hybrid,Broly Movie,967122850,38595665209,723,Hero,False
20043,Raditz,Hybrid,Saiyan Saga,6357,19178,800,Hero,False
20044,Tien,Human,Tournament of Power,665628380,25505080783,378,Neutral,True
20045,Vegeta,Hybrid,Cell Saga,1601897,3409485,725,Neutral,True
20046,Gohan,Saiyan,Cell Saga,4438477,156981357,250,Neutral,False
20047,Android 18,Angel,Frieza Saga,151121,9001,524,Villain,True
20048,Goku,Hybrid,Broly Movie,945880497,44695086750,167,Villain,False
20049,Beerus,Android,Buu Saga,53807584,1127392528,246,Hero,True
20050,Goten,Hybrid,Battle of Gods,802082269,8465538537,181,Villain,False
20051,Goku,Saiyan,Broly Movie,252743995,6389078922,757,Neutral,False
20052,Bardock,Hybrid,Buu Saga,43471985,532445454,900,Villain,True
20053,Cell,God,Battle of Gods,61760084,2164608546,139,Hero,True
20054,Beerus,Human,Cell Saga,3517135,14183068,399,Villain,False
20055,Whis,Saiyan,Battle of Gods,126180463,940673449,224,Hero,False
20056,Goten,Saiyan,Battle of Gods,552777522,1553472719,840,Anti-Hero,True
20057,Cell,Frieza Race,Broly Movie,858963116,5375308953,853,Villain,True
20058,Tien,Human,Frieza Saga,147405,6002872,231,Neutral,True
20059,Gohan,Saiyan,Broly Movie,675603822,1555341434,489,Hero,True
20060,Nappa,Hybrid,Broly Movie,723575300,21284759083,752,Villain,True
20061,Bardock,Saiyan,Saiyan Saga,2144,67235,132,Anti-Hero,True
20062,Trunks,Saiyan,Frieza Saga,414491,9001,555,Hero,False
20063,Beerus,Angel,Saiyan Saga,4739,9001,314,Neutral,True
20064,Krillin,Human,Battle of Gods,158808986,1237309641,628,Hero,True
20065,Bardock,Hybrid,Saiyan Saga,14750,305287,325,Anti-Hero,True
20066,Majin Buu,Angel,Battle of Gods,746077642,25066977226,928,Neutral,True
20067,Goten,Hybrid,Frieza Saga,431762,2707465,709,Neutral,True
20068,Tien,Human,Tournament of Power,20118889,97784986,802,Anti-Hero,False
20069,Broly,Hybrid,Battle of Gods,226623487,4499816382,249,Villain,False
20070,Gohan,Saiyan,Buu Saga,80476385,344777117,258,Neutral,False
20071,Raditz,Hybrid,Buu Saga,73503972,3490492220,388,Hero,True
20072,Frieza,Frieza Race,Broly Movie,570688653,27206634107,341,Villain,False
20073,Majin Buu,Frieza Race,Buu Saga,74319127,3108057651,913,Anti-Hero,False
20074,Trunks,Saiyan,Broly Movie,199429073,6750104471,129,Villain,False
20075,Majin Buu,Angel,Buu Saga,67522395,973748331,303,Neutral,True
20076,Goten,Saiyan,Tournament of Power,785801157,4711559357,701,Hero,True
20077,Nappa,Saiyan,Tournament of Power,647227160,1846555133,370,Anti-Hero,True
20078,Nappa,Saiyan,Saiyan Saga,10086,467041,47,Anti-Hero,False
20079,Bulma,Human,Battle of Gods,941452815,29228759567,214,Villain,True
20080,Majin Buu,Namekian,Buu Saga,51310354,1880136299,762,Villain,False
20081,Bardock,Hybrid,Buu Saga,28807772,939959719,931,Anti-Hero,False
20082,Frieza,Frieza Race,Cell Saga,123243,5577130,629,Anti-Hero,True
20083,Piccolo,Namekian,Buu Saga,21623146,467986160,144,Anti-Hero,False
20084,Vegeta,Saiyan,Frieza Saga,57926,2775914,797,Villain,True
20085,Beerus,Saiyan,Saiyan Saga,2551,17669,921,Villain,True
20086,Tien,Human,Tournament of Power,981098479,29948668236,188,Neutral,True
20087,Jiren,God,Frieza Saga,18896,931252,652,Anti-Hero,True
20088,Jiren,Angel,Frieza Saga,459744,15739448,60,Villain,False
20089,Yamcha,Human,Frieza Saga,243713,8340014,428,Anti-Hero,False
20090,Goku,Saiyan,Battle of Gods,238523304,8161202255,555,Neutral,False
20091,Bardock,Saiyan,Cell Saga,1575991,68132976,24,Anti-Hero,False
20092,Broly,Hybrid,Broly Movie,579935316,10515699862,612,Villain,False
20093,Android 18,Saiyan,Saiyan Saga,3794,12641,762,Anti-Hero,True
20094,Tien,Human,Buu Saga,61132900,2126148321,853,Villain,False
20095,Android 17,God,Buu Saga,76886244,3209604668,916,Anti-Hero,False
20096,Gohan,Saiyan,Broly Movie,226726884,8424775607,647,Hero,False
20097,Tien,Human,Broly Movie,874022996,28818834190,847,Hero,False
20098,Jiren,Majin,Battle of Gods,347609037,10346053444,679,Villain,False
20099,Frieza,Frieza Race,Broly Movie,128377282,4346497302,548,Neutral,False
20100,Whis,Human,Broly Movie,100006865,2210641019,554,Villain,True
20101,Nappa,Saiyan,Broly Movie,975157112,16676595101,447,Neutral,True
20102,Goku,Saiyan,Broly Movie,582924916,24665928616,651,Villain,False
20103,Android 18,Angel,Buu Saga,78944384,343855959,712,Anti-Hero,False
20104,Beerus,Hybrid,Buu Saga,32267910,1459685966,859,Anti-Hero,False
20105,Goten,Hybrid,Saiyan Saga,6691,266633,789,Villain,False
20106,Nappa,Hybrid,Frieza Saga,305441,1254432,341,Anti-Hero,False
20107,Whis,God,Broly Movie,939830382,14752515227,271,Neutral,False
20108,Beerus,Majin,Frieza Saga,436565,20223446,330,Villain,False
20109,Beerus,Android,Saiyan Saga,11758,373953,994,Hero,True
20110,Frieza,Frieza Race,Cell Saga,382696,15990063,764,Hero,True
20111,Goku,Saiyan,Frieza Saga,159489,1066360,224,Hero,False
20112,Broly,Hybrid,Broly Movie,600682546,5327949373,475,Anti-Hero,False
20113,Cell,Frieza Race,Saiyan Saga,13482,110201,825,Hero,True
